I, [2016-10-27T17:36:31.238180 #15720]  INFO -- : Started GET "/locations/visited_locations" for 127.0.0.1 at 2016-10-27 17:36:31 -0700
I, [2016-10-27T17:36:31.254690 #15720]  INFO -- : Processing by LocationsController#visited_locations as HTML
I, [2016-10-27T17:36:31.292083 #15720]  INFO -- :   Rendering locations/visited_locations.html.haml within layouts/application
I, [2016-10-27T17:36:31.330109 #15720]  INFO -- :   Rendered locations/visited_locations.html.haml within layouts/application (37.5ms)
I, [2016-10-27T17:36:31.335613 #15720]  INFO -- : Completed 200 OK in 80ms (Views: 67.1ms | ActiveRecord: 0.0ms)
I, [2016-10-27T17:36:31.355127 #15720]  INFO -- : Started GET "/stylesheets/application.css" for 127.0.0.1 at 2016-10-27 17:36:31 -0700
F, [2016-10-27T17:36:31.357629 #15720] FATAL -- :   
I, [2016-10-27T17:36:31.362632 #15720]  INFO -- : Started GET "/javascripts/application.js" for 127.0.0.1 at 2016-10-27 17:36:31 -0700
F, [2016-10-27T17:36:31.363133 #15720] FATAL -- : ActionController::RoutingError (No route matches [GET] "/stylesheets/application.css"):
F, [2016-10-27T17:36:31.364634 #15720] FATAL -- :   
F, [2016-10-27T17:36:31.365134 #15720] FATAL -- :   
F, [2016-10-27T17:36:31.365134 #15720] FATAL -- : ActionController::RoutingError (No route matches [GET] "/javascripts/application.js"):
F, [2016-10-27T17:36:31.365635 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T17:36:31.365635 #15720] FATAL -- :   
F, [2016-10-27T17:36:31.365635 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T17:36:31.366136 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T17:36:31.366136 #15720] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T17:36:31.366136 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T17:36:31.366635 #15720] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T17:36:31.366635 #15720] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T17:36:31.366635 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T17:36:31.367136 #15720] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T17:36:31.367136 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T17:36:31.367637 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T17:36:31.367637 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T17:36:31.367637 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T17:36:31.368136 #15720] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T17:36:31.368136 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T17:36:31.368637 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T17:36:31.368637 #15720] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T17:36:31.369137 #15720] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T17:36:31.369137 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T17:36:31.369137 #15720] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T17:36:31.369638 #15720] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T17:36:31.369638 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T17:36:31.369638 #15720] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T17:36:31.370138 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T17:36:31.370138 #15720] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T17:36:31.370639 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T17:36:31.370639 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T17:36:31.370639 #15720] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T17:36:31.371138 #15720] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T17:36:31.371138 #15720] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T17:36:31.371138 #15720] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T17:36:31.371639 #15720] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T17:36:31.371639 #15720] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
